,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
488,325000,0,4-bedroom,2010,V večstanovanjski stavbi,6.,6,0,Terasa,missing,Popolnoma opremljeno,2,missing,missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
489,267000,63,"2,5-bedroom",1954,V večstanovanjski stavbi,2.,2,2001,Balkon,missing,Popolnoma opremljeno,0,"77,00 m²",F (150 - 210 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
490,123000,0,3-bedroom,1986,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
491,129900,74,3-bedroom,2012,V večstanovanjski stavbi,1.,5,0,missing,missing,missing,2,"74,00 m²",missing,0,missing,missing,missing,0,Pomurska, Gornja Radgona, Spodnja Ščavnica
492,270000,68,3-bedroom,1977,V večstanovanjski stavbi,missing,0,2020,Balkon,missing,missing,0,"71,20 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Domžale, Domžale
493,58800,64,3-bedroom,1901,V večstanovanjski stavbi,2.,3,2021,missing,missing,Popolnoma opremljeno,1,"64,00 m²",missing,0,missing,missing,missing,0,Podravska, Ruše, Smolnik
494,238000,48,missing,2008,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Piran
495,197000,111,3-bedroom,2007,V večstanovanjski stavbi,2.,2,0,missing,missing,Delno opremljeno,0,"111,00 m²",missing,0,missing,missing,missing,0,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
496,135000,103,2-bedroom,1929,missing,1.,1,2005,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
497,230000,56,2-bedroom,1982,V večstanovanjski stavbi,missing,7,0,"Balkon, Zaprt balkon",missing,Popolnoma opremljeno,0,"65,80 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Moste
498,129942,74,3-bedroom,1980,missing,missing,0,2008,missing,missing,Delno opremljeno,0,missing,missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
499,267000,58,missing,1978,V večstanovanjski stavbi,4.,4,0,missing,missing,missing,0,"58,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
500,395000,91,missing,1995,missing,missing,0,2018,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Izola, Jagodje
501,250000,110,3-bedroom,1937,V hiši,2.,2,2003,Balkon,Vrt/dvorišče,missing,0,"69,70 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
502,189000,65,3-bedroom,1989,missing,4.,4,2006,missing,missing,missing,0,"73,90 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
503,239000,0,"2,5-bedroom",1976,missing,missing,0,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Obalno-kraška, Izola, Izola
504,149990,0,3-bedroom,1935,missing,missing,3,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
505,109000,0,"1,5-bedroom",1985,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Nova Vas
506,129000,0,5-bedroom,1911,missing,missing,1,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Center
507,93000,37,1-bedroom,1966,V večstanovanjski stavbi,3.,5,2016,missing,missing,Popolnoma opremljeno,0,"33,90 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Betnava
508,98000,43,"1,5-bedroom",1905,V večstanovanjski stavbi,1.,0,0,missing,missing,missing,0,"42,60 m²",missing,0,missing,missing,missing,0,Savinjska, Rogaška Slatina, Rogaška Slatina
509,255000,56,2-bedroom,1977,V večstanovanjski stavbi,1.,10,2022,Balkon,missing,Popolnoma opremljeno,1,"62,70 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Dravlje
510,123500,0,2-bedroom,1985,missing,missing,0,0,missing,missing,missing,0,missing,Ni možno izdati,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
511,140000,68,3-bedroom,0,missing,10.,12,0,Balkon,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
512,270000,0,4-bedroom,1941,V večstanovanjski stavbi,3.,0,0,Balkon,missing,missing,0,"153,60 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Center
514,165000,88,3-bedroom,1956,V večstanovanjski stavbi,3.,4,0,missing,missing,Popolnoma opremljeno,0,"88,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
515,169000,28,Studio,1970,missing,2.,14,0,missing,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
516,159000,0,3-bedroom,1967,V večstanovanjski stavbi,missing,4,0,Balkon,missing,Popolnoma opremljeno,0,"72,20 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tabor
517,178933,76,4-bedroom,2022,V večstanovanjski stavbi,missing,0,0,Balkon,missing,missing,0,"88,22 m²",missing,0,missing,missing,missing,0,Pomurska, Apače, Apače
518,92490,49,3-bedroom,1920,V večstanovanjski stavbi,4.,4,2017,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Žar",missing,0,"53,00 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
519,60000,31,1-bedroom,1910,V večstanovanjski stavbi,1.,2,0,Balkon,Vrt/dvorišče,Potrebno obnove,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Center
520,85000,0,2-bedroom,1900,missing,3.,3,0,missing,missing,missing,0,missing,Ni možno izdati,0,missing,missing,missing,0,Podravska, Maribor, Center
521,79000,0,3-bedroom,1900,missing,2.,3,0,missing,missing,missing,0,missing,Ni možno izdati,0,missing,missing,missing,0,Podravska, Maribor, Center
522,139000,0,2-bedroom,1900,missing,2.,3,0,missing,missing,missing,0,missing,Ni možno izdati,0,missing,missing,missing,0,Podravska, Maribor, Center
523,185000,0,2-bedroom,1900,missing,2.,3,0,missing,missing,missing,0,missing,Ni možno izdati,0,missing,missing,missing,0,Podravska, Maribor, Center
524,125000,47,2-bedroom,1975,V večstanovanjski stavbi,missing,14,0,Zaprt balkon,missing,Delno opremljeno,0,"53,90 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
525,267000,54,2-bedroom,1976,V večstanovanjski stavbi,4.,4,2019,Balkon,missing,Popolnoma opremljeno,1,"59,40 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, BS 3
526,49000,0,3-bedroom,1800,V večstanovanjski stavbi,2.,2,0,missing,missing,Neopremljeno,0,"86,40 m²",missing,0,missing,missing,missing,0,Koroška, Podvelka, Podvelka
527,146000,73,3-bedroom,1980,V večstanovanjski stavbi,missing,8,0,Zaprt balkon,missing,Popolnoma opremljeno,0,"74,50 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Savinjska, Štore, Štore
528,85000,40,missing,1910,V večstanovanjski stavbi,2.,3,2002,missing,missing,missing,0,"40,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
529,169100,67,missing,1979,V večstanovanjski stavbi,10.,0,2016,missing,missing,missing,0,"67,00 m²",missing,0,missing,missing,missing,0,Goriška, Nova Gorica, Nova Gorica
531,139000,0,3-bedroom,1990,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"65,70 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Borštnikova ul.
532,158000,0,3-bedroom,1989,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Sežana, Sežana
533,260000,77,3-bedroom,2011,V večstanovanjski stavbi,2.,0,0,missing,missing,missing,0,"77,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
534,165000,83,4-bedroom,1960,V večstanovanjski stavbi,2.,5,2019,missing,missing,Popolnoma opremljeno,1,"83,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
535,259000,88,4-bedroom,1978,V večstanovanjski stavbi,10.,12,2012,Balkon,missing,Popolnoma opremljeno,0,"95,30 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Dravlje
538,145000,46,2-bedroom,1986,V večstanovanjski stavbi,5.,5,2013,missing,missing,Popolnoma opremljeno,0,"46,00 m²",missing,0,missing,missing,missing,0,Gorenjska, Bled, Bled
539,158000,0,3-bedroom,2001,missing,missing,0,0,missing,missing,missing,2,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Obalno-kraška, Koper, Sv. Anton
540,99000,47,2-bedroom,1968,V večstanovanjski stavbi,3.,3,2018,Zaprt balkon,Vrt/dvorišče,Popolnoma opremljeno,0,missing,EI v izdelavi,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
541,199500,101,4-bedroom,1979,V večstanovanjski stavbi,missing,10,0,"Balkon, Zaprt balkon",missing,Popolnoma opremljeno,0,"104,40 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
542,98000,0,2-bedroom,1957,V večstanovanjski stavbi,missing,3,2004,Balkon,missing,missing,1,"51,60 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tezno
543,345000,0,3-bedroom,1960,missing,8.,12,2022,missing,missing,missing,0,"66,90 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
544,203000,68,3-bedroom,2010,V večstanovanjski stavbi,1.,3,2012,Balkon,missing,Popolnoma opremljeno,1,missing,A1 (0 - 10 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vojnik, Vojnik
545,128990,61,2-bedroom,1984,V večstanovanjski stavbi,1.,2,2010,Zaprt balkon,missing,Delno opremljeno,0,"61,10 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Borštnikova ul.
546,149900,0,4-bedroom,1958,missing,missing,3,0,missing,missing,missing,1,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
547,178933,0,4-bedroom,2022,V večstanovanjski stavbi,1.,3,0,Balkon,missing,missing,0,"88,22 m²",missing,0,missing,missing,missing,0,Pomurska, Apače, Apače
548,139900,65,3-bedroom,1979,V večstanovanjski stavbi,4.,5,0,Balkon,missing,Popolnoma opremljeno,0,"70,80 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Borštnikova ul.
549,114900,54,2-bedroom,1965,V večstanovanjski stavbi,missing,4,2006,missing,missing,missing,0,"51,30 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
550,148900,0,2-bedroom,2009,missing,missing,2,0,missing,Vrt/dvorišče,missing,1,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
551,114900,0,2-bedroom,1965,missing,missing,0,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
552,119000,0,2-bedroom,1962,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
553,149000,50,2-bedroom,2008,V večstanovanjski stavbi,4.,4,0,Balkon,missing,Popolnoma opremljeno,1,"56,90 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
556,205000,39,1-bedroom,1850,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
557,195000,83,3-bedroom,1900,V večstanovanjski stavbi,missing,3,2004,missing,missing,Popolnoma opremljeno,0,"83,00 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Sv. Peter
558,114900,51,2-bedroom,1965,V večstanovanjski stavbi,4.,4,2011,missing,missing,Delno opremljeno,0,"54,40 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
560,269000,79,3-bedroom,1978,V večstanovanjski stavbi,missing,10,2005,Balkon,missing,Popolnoma opremljeno,0,"71,00 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Dravlje
561,182000,74,3-bedroom,1976,V večstanovanjski stavbi,5.,12,2017,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Savinjska, Celje, Lava
562,397000,130,Studio,1900,V večstanovanjski stavbi,missing,5,1994,missing,missing,Delno opremljeno,0,"130,00 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Piran
563,360000,0,6 in večbedroom,1895,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Melje
564,125000,0,2-bedroom,1975,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Tabor
565,219000,0,2-bedroom,1987,missing,missing,1,0,missing,missing,missing,2,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Obalno-kraška, Koper, Koper
566,448000,0,6 in večbedroom,2006,missing,missing,2,0,missing,missing,missing,2,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Grosuplje
567,97000,0,Studio,1965,V večstanovanjski stavbi,13.,13,2017,Balkon,missing,missing,0,"19,60 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Moste
569,173808,56,2-bedroom,2023,V večstanovanjski stavbi,2.,2,0,Balkon,missing,missing,0,"66,70 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
570,257203,84,3-bedroom,2023,V večstanovanjski stavbi,1.,2,0,Balkon,missing,missing,0,"94,75 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
574,298856,73,3-bedroom,2023,V večstanovanjski stavbi,2.,3,0,Balkon,missing,missing,2,"111,07 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
575,298856,73,3-bedroom,2023,V večstanovanjski stavbi,2.,3,0,Balkon,missing,missing,2,"107,95 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
576,297625,73,3-bedroom,2023,V večstanovanjski stavbi,1.,3,0,Balkon,missing,missing,2,"107,95 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
577,297625,73,3-bedroom,2023,V večstanovanjski stavbi,1.,3,0,Balkon,missing,missing,2,"107,95 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
578,258598,59,2-bedroom,2023,V večstanovanjski stavbi,1.,3,0,Balkon,missing,Delno opremljeno,2,"93,47 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
579,259598,59,2-bedroom,2023,V večstanovanjski stavbi,1.,3,0,Balkon,Vrt/dvorišče,Delno opremljeno,2,"93,43 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
580,383000,111,4-bedroom,2006,V večstanovanjski stavbi,missing,4,2018,Terasa,missing,Popolnoma opremljeno,0,"110,61 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Kamnik, Kamnik
581,149000,78,2-bedroom,1981,missing,1.,5,2012,missing,missing,Delno opremljeno,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Betnava
582,233000,0,2-bedroom,2005,missing,missing,0,0,missing,missing,missing,0,missing,E (105 - 150 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Center
583,249403,0,4-bedroom,2022,missing,missing,3,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Slovenske Konjice, Slovenske Konjice
585,198842,0,3-bedroom,2022,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Slovenske Konjice, Slovenske Konjice
586,378954,0,5-bedroom,2022,missing,missing,3,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Savinjska, Slovenske Konjice, Slovenske Konjice
587,263000,54,2-bedroom,1970,V večstanovanjski stavbi,3.,3,2015,Balkon,missing,Delno opremljeno,0,"63,00 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
588,149900,73,3-bedroom,1945,missing,missing,0,2010,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Center
589,180000,0,2-bedroom,1908,missing,missing,2,2022,missing,missing,missing,0,"37,50 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
590,238000,0,2-bedroom,1908,missing,missing,2,2022,missing,missing,missing,0,"49,90 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
591,225000,0,3-bedroom,1900,missing,3.,3,0,missing,missing,missing,0,missing,Ni možno izdati,0,missing,missing,missing,0,Podravska, Maribor, Center
592,550,0,Studio,1991,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Koper, Ankaran
593,315000,347,missing,1975,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"347,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ivančna Gorica, Višnja Gora
594,169000,104,4-bedroom,1801,V večstanovanjski stavbi,missing,3,2020,Balkon,missing,Delno opremljeno,0,"122,80 m²",EI v izdelavi,0,missing,missing,missing,0,Koroška, Slovenj Gradec, Slovenj Gradec
595,166867,0,2-bedroom,0,V večstanovanjski stavbi,missing,3,0,missing,missing,missing,0,"95,98 m²",missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
596,182463,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,missing,missing,missing,0,"75,87 m²",missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
597,339000,0,5-bedroom,1970,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Vižmarje
598,285000,67,3-bedroom,1980,V večstanovanjski stavbi,3.,6,0,missing,missing,Popolnoma opremljeno,0,"67,00 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Lucija
599,620000,84,2-bedroom,2009,V večstanovanjski stavbi,1.,4,0,missing,missing,missing,0,"84,00 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Portorož
601,275000,109,3-bedroom,1954,V večstanovanjski stavbi,2.,2,2011,Balkon,missing,Neopremljeno,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Vevče
602,176900,84,3-bedroom,1987,V večstanovanjski stavbi,2.,4,2010,"Balkon, Terasa, Loža",missing,Popolnoma opremljeno,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Savinjska, Celje, Celje
604,265000,0,3-bedroom,1981,missing,missing,0,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Stara Ljubljana
605,419000,0,3-bedroom,2021,missing,missing,2,0,missing,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Obalno-kraška, Koper, Koper
608,169680,57,2-bedroom,0,V večstanovanjski stavbi,missing,3,0,Atrij,missing,missing,0,"103,60 m²",missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
609,115000,124,"4,5-bedroom",1946,missing,missing,0,2000,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Vojnik, Arclin
610,166235,0,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,1,missing,B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Grosuplje, Šmarje - Sap
611,330000,79,3-bedroom,1977,V večstanovanjski stavbi,4.,0,2004,missing,missing,Popolnoma opremljeno,0,"79,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Dravlje
612,150000,66,2-bedroom,1971,V večstanovanjski stavbi,3.,5,2005,missing,missing,Delno opremljeno,0,"66,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
614,165189,69,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
615,133686,56,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
616,165189,69,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
617,154814,69,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
618,154815,69,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
619,154814,69,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
620,169679,104,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
621,185804,112,3-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
622,166866,96,2-bedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
623,264000,91,2-bedroom,2008,V večstanovanjski stavbi,7.,7,2015,missing,missing,Popolnoma opremljeno,0,"91,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
625,194000,40,"1,5-bedroom",1895,missing,missing,0,2016,missing,missing,missing,0,"47,20 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
626,139000,0,4-bedroom,1978,missing,missing,4,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
627,248000,0,2-bedroom,1908,missing,missing,2,2022,missing,missing,missing,0,"48,20 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
628,190000,0,2-bedroom,1908,missing,missing,2,2022,missing,missing,missing,0,"36,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
629,209000,68,4-bedroom,1961,missing,missing,0,2019,missing,missing,Popolnoma opremljeno,0,"72,30 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
631,135000,101,3-bedroom,1975,missing,missing,0,0,missing,missing,missing,0,missing,F (150 - 210 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
632,166866,96,6 in večbedroom,2023,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
633,279000,73,2-bedroom,1975,V večstanovanjski stavbi,4.,4,2002,missing,missing,Popolnoma opremljeno,0,"73,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Podutik
634,202990,50,missing,1968,missing,missing,0,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
635,249000,53,"2,5-bedroom",1902,missing,2.,0,2016,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
637,450000,107,missing,2005,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Izola, Izola
638,220000,57,2-bedroom,1970,missing,4.,4,2014,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
639,199000,159,4-bedroom,1973,V večstanovanjski stavbi,missing,1,0,missing,missing,missing,0,missing,EI v izdelavi,0,missing,missing,missing,0,Savinjska, Slovenske Konjice, Slovenske Konjice
640,220000,54,2-bedroom,1970,missing,4.,4,2014,Balkon,missing,Popolnoma opremljeno,0,"57,20 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
642,348000,70,3-bedroom,1981,V večstanovanjski stavbi,3.,4,2010,Balkon,missing,Popolnoma opremljeno,1,"76,90 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Dravlje
643,113900,71,3-bedroom,1985,V večstanovanjski stavbi,3.,0,0,Balkon,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Poljčane, Poljčane
645,348000,70,3-bedroom,1981,V večstanovanjski stavbi,3.,4,2004,Balkon,missing,Popolnoma opremljeno,0,"79,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Draveljska gmajna
646,189000,0,3-bedroom,1970,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
648,105000,48,2-bedroom,1971,V večstanovanjski stavbi,1.,6,2011,missing,missing,Delno opremljeno,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Savinjska, Žalec, Žalec
651,139000,0,2-bedroom,1991,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Osrednjeslovenska, Lukovica, Rafolče
652,200000,0,4-bedroom,1982,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Osrednjeslovenska, Kamnik, Kamnik
653,229000,0,2-bedroom,1972,missing,missing,0,0,missing,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
654,175000,0,6 in večbedroom,1996,missing,missing,0,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
655,229900,50,2-bedroom,1941,missing,2.,2,2015,missing,missing,missing,0,"50,10 m²",E (105 - 150 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Savsko naselje
656,990000,141,5-bedroom,2004,missing,4.,4,0,missing,missing,missing,2,"234,30 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Zelena jama
