,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
1209,110000,170,missing,1977,missing,missing,0,2017,"Balkon, Terasa",Vrt/dvorišče,Popolnoma opremljeno,0,"170,00 m²",missing,8,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Ormož, Senešci
1210,198000,170,missing,1977,missing,missing,0,2017,missing,missing,missing,0,missing,missing,0,missing,missing,Kmetija,0,Podravska, Ormož, Velika Nedelja
1211,770000,200,missing,2021,missing,missing,0,0,missing,missing,Neopremljeno,0,"200,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,885,Gorenjska, Bled, Bled
1212,53000,80,missing,1731,missing,missing,0,1985,missing,missing,missing,0,"80,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Jugovzhodna Slovenija, Šentrupert, Šentrupert
1213,175000,230,missing,1982,missing,missing,0,2022,Terasa,Vrt/dvorišče,missing,0,"280,00 m²",missing,10,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Pomurska, Beltinci, Dokležovje
1215,142000,75,missing,1991,missing,missing,0,2000,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",missing,5,"125,00 m²",D (60 - 105 kWh/m²a),3,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,965,Posavska, Brežice, Kapele
1216,74000,95,missing,1972,missing,missing,0,2017,Terasa,Vrt/dvorišče,Delno opremljeno,6,"95,00 m²",E (105 - 150 kWh/m²a),3,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,Pomurska, Puconci, Moščanci
1217,279990,193,missing,2022,missing,missing,0,0,"Terasa, Loža, Atrij",Vrt/dvorišče,Delno opremljeno,0,"145,00 m²",A2 (10 - 15 kWh/m²a),4,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,265,Podravska, Maribor, Tezno
1218,420000,0,missing,2008,missing,missing,0,0,missing,Vrt/dvorišče,missing,4,missing,C (35 - 60 kWh/m²a),5,Dvonadstropna,missing,Samostojna,0,Obalno-kraška, Koper, Sv. Anton
1219,75000,0,missing,1983,missing,missing,0,0,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",Delno opremljeno,0,"104,00 m²",missing,2,missing,"Zidana hiša (beton, opeka)",Samostojna,372,Podravska, Kungota, Gradiška
