,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,Furniture,ParkingSpots,EnergyClass,Region,District,Neighborhood
528,85000,40,,1910,V večstanovanjski stavbi,2.,3,2002,,,,,Podravska, Maribor, Tabor
529,169100,67,,1979,V večstanovanjski stavbi,10.,0,2016,,,,,Goriška, Nova Gorica, Nova Gorica
530,125000,53,,1985,V večstanovanjski stavbi,Pritličje,4,0,,Delno opremljeno,brez pripadajočega parkirišča,,Podravska, Maribor, Radvanje
531,139000,66,3-sobno,1990,V večstanovanjski stavbi,,0,0,,,brez pripadajočega parkirišča,,Podravska, Maribor, Borštnikova ul.
532,158000,0,3-sobno,1989,,,0,0,,,,,Obalno-kraška, Sežana, Sežana
533,260000,77,3-sobno,2011,V večstanovanjski stavbi,2.,0,0,,,brez pripadajočega parkirišča,,Podravska, Maribor, Radvanje
534,165000,83,4-sobno,1960,V večstanovanjski stavbi,2.,5,2019,,Popolnoma opremljeno,1,,Savinjska, Celje, Celje
535,259000,88,4-sobno,1978,V večstanovanjski stavbi,10.,12,2012,Balkon,Popolnoma opremljeno,,C (35 - 60 kWh/m2a),Osrednjeslovenska, Ljubljana Šiška, Dravlje
536,252000,90,3-sobno,1952,V večstanovanjski stavbi,Visoko pritličje,3,0,,,,D (60 - 105 kWh/m2a),Osrednjeslovenska, Ljubljana Šiška, Šiška
537,295000,176,5-sobno,1987,,Pritličje,1,2018,,,,D (60 - 105 kWh/m2a),Osrednjeslovenska, Domžale, Domžale
538,145000,46,2-sobno,1986,V večstanovanjski stavbi,5.,5,2013,,Popolnoma opremljeno,,,Gorenjska, Bled, Bled
539,158000,0,3-sobno,2001,,,0,0,,,2,D (60 - 105 kWh/m2a),Obalno-kraška, Koper, Sv. Anton
540,99000,47,2-sobno,1968,V večstanovanjski stavbi,3.,3,2018,Zaprt balkon,Popolnoma opremljeno,,EI v izdelavi,Podravska, Ptuj, Ptuj
541,199500,101,4-sobno,1979,V večstanovanjski stavbi,,10,0,"Balkon, Zaprt balkon",Popolnoma opremljeno,brez pripadajočega parkirišča,D (60 - 105 kWh/m2a),Podravska, Maribor, Tabor
542,98000,52,2-sobno,1957,V večstanovanjski stavbi,,3,2004,Balkon,,1,EI v izdelavi,Podravska, Maribor, Tezno
543,345000,67,3-sobno,1960,,8.,12,2022,,,,,Osrednjeslovenska, Ljubljana Center, Center
544,203000,68,3-sobno,2010,V večstanovanjski stavbi,1.,3,2012,Balkon,Popolnoma opremljeno,1,A1 (0 - 10 kWh/m2a),Savinjska, Vojnik, Vojnik
545,128990,61,2-sobno,1984,V večstanovanjski stavbi,1.,2,2010,Zaprt balkon,Delno opremljeno,,C (35 - 60 kWh/m2a),Podravska, Maribor, Borštnikova ul.
546,149900,0,4-sobno,1958,,,3,0,,,1,D (60 - 105 kWh/m2a),Podravska, Maribor, Tezno
547,178933,88,4-sobno,2022,V večstanovanjski stavbi,1.,3,0,Balkon,,,,Pomurska, Apače, Apače
548,139900,65,3-sobno,1979,V večstanovanjski stavbi,4.,5,0,Balkon,Popolnoma opremljeno,,,Podravska, Maribor, Borštnikova ul.
549,114900,54,2-sobno,1965,V večstanovanjski stavbi,,4,2006,,,brez pripadajočega parkirišča,C (35 - 60 kWh/m2a),Podravska, Maribor, Tabor
550,148900,0,2-sobno,2009,,,2,0,,,1,C (35 - 60 kWh/m2a),Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
551,114900,0,2-sobno,1965,,,0,0,,,,C (35 - 60 kWh/m2a),Podravska, Maribor, Tabor
552,119000,0,2-sobno,1962,,,0,0,,,,,Savinjska, Celje, Celje
553,149000,50,2-sobno,2008,V večstanovanjski stavbi,4.,4,0,Balkon,Popolnoma opremljeno,1,C (35 - 60 kWh/m2a),Podravska, Maribor, Studenci
554,239000,77,2-sobno,2008,V večstanovanjski stavbi,Mansarda,0,0,Terasa,Popolnoma opremljeno,,E (105 - 150 kWh/m2a),Podravska, Ruše, Ruše
555,250000,82,2-sobno,2008,V večstanovanjski stavbi,Mansarda,0,0,Terasa,Popolnoma opremljeno,,E (105 - 150 kWh/m2a),Podravska, Ruše, Ruše
556,205000,39,1-sobno,1850,,,0,0,,,,,Osrednjeslovenska, Ljubljana Center, Center
557,195000,83,3-sobno,1900,V večstanovanjski stavbi,,3,2004,,Popolnoma opremljeno,,,Obalno-kraška, Piran, Sv. Peter
558,114900,51,2-sobno,1965,V večstanovanjski stavbi,4.,4,2011,,Delno opremljeno,,C (35 - 60 kWh/m2a),Podravska, Maribor, Tabor
559,176300,41,"1,5-sobno",1990,V večstanovanjski stavbi,Pritličje,1,2017,,Delno opremljeno,,,Obalno-kraška, Izola, Izola
