,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
252,69800,130,1,1980,Pritlična,,Samostojna,0,0,,,"Balkon, Zaprt balkon, Terasa",,EI v izdelavi,Savinjska, Šmarje pri Jelšah, Grliče
255,360000,305,,1980,Pritlična,,Ostalo,0,2005,,,,,,Podravska, Ptuj, Ptuj
256,370000,155,5,2008,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,365,2008,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Obalno-kraška, Kozina, Hrpelje
257,62000,72,,1980,,,Samostojna,960,0,,,,,D (60 - 105 kWh/m²a),Pomurska, Murska Sobota, Bakovci
259,155000,137,3,2022,Visokopritlična,"Zidana hiša (beton, opeka)",Vrstna,267,0,,,Terasa,Vrt/dvorišče,Ni možno izdati,Podravska, Hajdina, Hajdina
260,279000,149,3,2008,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,909,0,,,,,,Podravska, Ptuj, Ptuj
261,50000,102,3,1980,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,434,2010,Popolnoma opremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Vrtna uta",,Podravska, Ormož, Trstenik
262,195000,121,4,2023,,"Zidana hiša (beton, opeka)",Dvojček,513,0,,,,,,Podravska, Duplek, Spodnji Duplek
263,205000,121,4,2023,,"Zidana hiša (beton, opeka)",Dvojček,842,0,,,,,,Podravska, Duplek, Spodnji Duplek
264,127500,180,5,1934,,"Zidana hiša (beton, opeka)",,0,1995,,,,,,Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah
265,295000,143,4,2006,,"Zidana hiša (beton, opeka)",,336,2019,Neopremljeno,1,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
266,275000,240,,1984,,"Zidana hiša (beton, opeka)",Samostojna,600,2017,,1,,,,Savinjska, Slovenske Konjice, Slovenske Konjice
267,207000,179,,1800,,"Zidana hiša (beton, opeka)",,0,1980,,2,,,,Savinjska, Rogaška Slatina, Rajnkovec
268,130000,179,,1800,,"Zidana hiša (beton, opeka)",Samostojna,0,1980,,2,,,,Savinjska, Rogaška Slatina, Rajnkovec
270,347900,141,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,247,0,,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Maribor, Limbuš
271,347900,141,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,247,0,,2,Terasa,Lopa za shranjevanje,,Podravska, Maribor, Limbuš
272,329900,124,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,294,0,,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Maribor, Limbuš
273,329900,124,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,294,0,,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Maribor, Limbuš
274,215000,180,,0,,,,0,0,,,,,,Jugovzhodna Slovenija, Šmarješke Toplice, Šmarješke Toplice
276,220000,111,5,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,255,0,Neopremljeno,2,"Terasa, Atrij",Vrt/dvorišče,Ni možno izdati,Podravska, Rače, Podova
277,285000,86,2,2008,Visokopritlična,"Zidana hiša (beton, opeka)",Dvostanovanjska,298,0,Delno opremljeno,2,"Terasa, Atrij",Vrt/dvorišče,EI v izdelavi,Osrednjeslovenska, Komenda, Klanec
278,310000,356,7,1984,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,833,2020,Popolnoma opremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar, Bazen",E (105 - 150 kWh/m²a),Podravska, Maribor, Bresternica
279,285000,260,6,1998,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,625,0,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Podravska, Maribor, Center
280,222000,350,5,1998,Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,2004,,3,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Jugovzhodna Slovenija, Novo mesto, Dolenji Suhadol
281,114990,60,,1928,,,Samostojna,372,0,,,,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Maribor, Pobrežje
283,179900,234,5,1988,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2010,Delno opremljeno,,"Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Ptuj, Podvinci
284,189000,142,4,2012,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,699,0,,,Terasa,,,Podravska, Ptuj, Ptuj
285,450000,291,6,2003,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,"Balkon, Zaprt balkon","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje",C (35 - 60 kWh/m²a),Podravska, Gorišnica, Tibolci
286,166000,137,3,2022,Visokopritlična,"Zidana hiša (beton, opeka)",Vrstna,350,0,,,Terasa,Vrt/dvorišče,,Podravska, Hajdina, Hajdina
287,149900,96,4,1986,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,668,0,,,Balkon,"Vrt/dvorišče, Vrtna uta",,Podravska, Ptuj, Ptuj
288,74900,32,1,1860,Pritlična,Lesena hiša,Samostojna,0,0,,,,,,Podravska, Ormož, Lunovec
289,189000,190,6,1936,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,276,2005,Delno opremljeno,2,Balkon,,,Podravska, Maribor, Pobrežje
290,289000,215,,1979,,,Samostojna,0,2015,Delno opremljeno,,"Balkon, Zaprt balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Bazen",,Podravska, Duplek, Spodnji Duplek
292,395000,150,,2023,Enonadstropna,,Samostojna,750,0,,,Terasa,,B2 (25 - 35 kWh/m²a),Savinjska, Velenje, Velenje
294,90000,137,5,1850,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,1985,Popolnoma opremljeno,2,"Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Posavska, Krško, Raka
295,295000,112,6,2001,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,600,2007,Delno opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",,Osrednjeslovenska, Škofljica, Gradišče nad Pijavo Gorico
296,298000,612,,1989,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Neopremljeno,,,,,Obalno-kraška, Komen, Gorjansko
297,157000,67,,1825,,"Zidana hiša (beton, opeka)",,268,1993,,,,,,Obalno-kraška, Kozina, Mihele
298,69900,80,3,1998,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,"Balkon, Terasa, Loža",Vrtna uta,,Podravska, Majšperk, Koritno
303,119000,80,,1950,,,Samostojna,0,2010,,,,,,Podravska, Hoče, Hotinja vas
304,200000,179,5,1997,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2019,,4,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",,Osrednjeslovenska, Litija, Čateška Gora
305,75000,100,3,1932,,Kamnita hiša,Samostojna,697,1980,Delno opremljeno,,,"Vrt/dvorišče, Vrtna uta, Žar",F (150 - 210 kWh/m²a),Jugovzhodna Slovenija, Loški Potok, Draga
306,279000,189,,2007,,,Vrstna,175,0,,,"Balkon, Terasa",Vrt/dvorišče,C (35 - 60 kWh/m²a),Podravska, Maribor, Limbuš
307,205000,135,4,2002,,,Samostojna,0,0,Popolnoma opremljeno,3,"Balkon, Terasa",Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Rače, Morje
308,249000,450,6,2002,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",,Pomurska, Gornja Radgona, Spodnja Ščavnica
309,140000,115,3,1980,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,870,0,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Jugovzhodna Slovenija, Semič, Semič
310,110000,120,3,1980,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,960,2022,Neopremljeno,7+,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",C (35 - 60 kWh/m²a),Pomurska, Lendava, Mostje
311,105000,147,6,1953,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,359,1997,,,,,,Zasavska, Zagorje ob Savi, Selo pri Zagorju
312,390000,0,5,1970,Dvonadstropna,,Samostojna,0,0,,2,,,EI ni potrebna (334. člen EZ-1),Osrednjeslovenska, Ljubljana Šiška, Šiška
313,339000,0,6,1996,,,Samostojna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
314,50000,0,3,1997,,,Samostojna,0,0,,,,Vrt/dvorišče,G (210+ kWh/m²a),Savinjska, Rogaška Slatina, Rogaška Slatina
315,220000,0,6,1965,,,Samostojna,0,0,,,,,,Zasavska, Trbovlje, Trbovlje
316,62000,0,2,1989,Večnadstropna,,,0,0,,2,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Savinjska, Šentjur, Loka pri Žusmu
317,220000,0,6,1994,,,Samostojna,0,0,,,,,,Podravska, Ptuj, Ptuj
318,96000,0,2,1976,Dvonadstropna,,Samostojna,0,0,,,,,,Podravska, Videm pri Ptuju, Videm pri Ptuju
321,138000,200,,0,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,188,2010,,3,Balkon,,EI v izdelavi,Savinjska, Radeče, Radeče
322,280000,79,4,1800,,"Zidana hiša (beton, opeka)",,0,2018,,,,,,Obalno-kraška, Koper, Koper
324,120000,80,3,1976,,"Zidana hiša (beton, opeka)",Samostojna,0,2010,Popolnoma opremljeno,,,,,Podravska, Maribor okolica, Vrhov Dol
325,119700,101,3,1972,,"Zidana hiša (beton, opeka)",Kmetija,0,0,,,,,,Podravska, Videm pri Ptuju, Vareja
326,246000,433,,2014,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,brez pripadajočega parkirišča,,,,Podravska, Slovenska Bistrica, Zgornja Polskava
327,370000,152,,2023,,"Zidana hiša (beton, opeka)",,210,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
328,350000,151,,2023,,"Zidana hiša (beton, opeka)",,174,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
329,350000,151,,2023,,"Zidana hiša (beton, opeka)",,169,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
330,362000,152,,2023,,"Zidana hiša (beton, opeka)",,194,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
331,115000,84,,1954,,,Samostojna,481,0,Delno opremljeno,brez pripadajočega parkirišča,Balkon,Vrt/dvorišče,F (150 - 210 kWh/m²a),Posavska, Krško, Leskovec pri Krškem
332,65000,85,,1965,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,576,1985,,,,,,Savinjska, Polzela, Andraž nad Polzelo
333,115000,84,4,1954,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,481,0,Delno opremljeno,,Balkon,,F (150 - 210 kWh/m²a),Posavska, Krško, Leskovec pri Krškem
334,350000,191,,1969,Enonadstropna,,Vrstna,433,2007,,,,,C (35 - 60 kWh/m²a),Osrednjeslovenska, Ljubljana Moste Polje, Zalog
335,210000,234,,1995,Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,185,2014,,,"Balkon, Terasa",,D (101 do 150 kWh/m²a) - HR,Savinjska, Slovenske Konjice, Slovenske Konjice
336,160000,160,4,1925,Pritlična,"Zidana hiša (beton, opeka)",Ostalo,0,2011,Popolnoma opremljeno,,,"Vrt/dvorišče, Lopa za shranjevanje",F (150 - 210 kWh/m²a),Savinjska, Polzela, Orova vas
337,155000,96,3,2022,Pritlična,,Samostojna,512,0,Delno opremljeno,2,Terasa,Vrt/dvorišče,A1 (0 - 10 kWh/m²a),Jugovzhodna Slovenija, Straža, Straža
340,300000,358,1,2019,Enonadstropna,,Samostojna,858,0,Nedokončana gradnja,,Balkon,Vrt/dvorišče,,Osrednjeslovenska, Logatec, Logatec
341,370000,152,,2023,Dvonadstropna,"Zidana hiša (beton, opeka)",Vrstna,211,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Novo Polje
342,350000,152,,2023,Dvonadstropna,"Zidana hiša (beton, opeka)",Vrstna,174,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Novo Polje
343,350000,152,,2023,Dvonadstropna,"Zidana hiša (beton, opeka)",Vrstna,169,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Novo Polje
344,362000,152,,2023,Dvonadstropna,"Zidana hiša (beton, opeka)",Vrstna,194,0,,,,,,Osrednjeslovenska, Ljubljana Moste Polje, Novo Polje
345,259000,188,5,2022,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,312,0,Neopremljeno,4,"Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje",B1 (15 - 25 kWh/m²a),Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
346,360000,600,,1900,,"Zidana hiša (beton, opeka)",Samostojna,314,1980,,,,,EI ni potrebna (334. člen EZ-1),Podravska, Maribor, Center
348,228000,140,4,1980,Visokopritlična,,Samostojna,852,2015,,,"Balkon, Terasa","Vrt/dvorišče, Žar",D (60 - 105 kWh/m²a),Podravska, Kungota, Gradiška
349,260000,400,10+,1990,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2020,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",,Koroška, Slovenj Gradec, Gradišče
350,215000,104,4,2006,Enonadstropna,,Dvojček,152,2019,Delno opremljeno,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Podravska, Maribor, Tezno
351,59000,300,1,2008,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2008,Nedokončana gradnja,,Balkon,,,Pomurska, Gornja Radgona, Zbigovci
352,308000,146,5,1967,Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,2007,Popolnoma opremljeno,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Savinjska, Prebold, Prebold
354,105000,60,3,1940,,,Samostojna,544,2001,,2,Terasa,Vrt/dvorišče,F (150 - 210 kWh/m²a),Savinjska, Šentjur, Šentjur
355,105000,130,5,1907,,"Zidana hiša (beton, opeka)",Samostojna,462,2000,Popolnoma opremljeno,,,,,Pomurska, Ljutomer, Ljutomer
356,255000,268,5,2001,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,779,0,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar, Bazen",D (101 do 150 kWh/m²a) - HR,Podravska, Kungota, Zgornja Kungota
357,91500,134,,1991,Večnadstropna,,Dvostanovanjska,0,2020,,,,,F (150 - 210 kWh/m²a),Pomurska, Murska Sobota, Murska Sobota
358,40000,50,3,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Zavrč, Gorenjski Vrh
362,77000,117,2,1960,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2010,Potrebno obnove,,Atrij,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Kidričevo, Župečja vas
364,75000,120,3,1985,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2019,Popolnoma opremljeno,7+,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar",,Savinjska, Rogaška Slatina, Rogaška Slatina
365,180000,120,1,0,Pritlična,,Samostojna,565,2005,,,,,,Jugovzhodna Slovenija, Trebnje, Trebnje
366,140000,204,4,1972,Dvonadstropna,"Zidana hiša (beton, opeka)",,0,0,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",,Jugovzhodna Slovenija, Kočevje, Mrtvice
369,100000,95,4,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,1985,,,,,,Savinjska, Braslovče, Braslovče
370,210000,305,8,1976,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2003,Popolnoma opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar",D (60 - 105 kWh/m²a),Zasavska, Zagorje ob Savi, Zagorje ob Savi
371,148000,244,,1967,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,410,0,,,,,,Podravska, Maribor, Brezje - Dogoše - Zrkovce
373,200000,96,4,2003,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,210,2015,Popolnoma opremljeno,,"Balkon, Terasa",Lopa za shranjevanje,D (60 - 105 kWh/m²a),Podravska, Maribor, Bresternica
374,280000,204,7,1988,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,918,2004,,,"Balkon, Terasa","Lopa za shranjevanje, Žar",,Koroška, Ravne na Koroškem, Brdinje
376,99000,300,5,2010,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Pomurska, Lendava, Dolga vas
377,87000,100,,1965,,,Dvojček,814,0,,,,,,Podravska, Gorišnica, Gorišnica
378,69999,58,2,2000,Visokopritlična,"Zidana hiša (beton, opeka)",Ostalo,301,0,Delno opremljeno,2,Terasa,"Vrt/dvorišče, Žar",,Savinjska, Šentjur, Grušce
379,170000,220,,1975,,,Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Kočevje, Gorenje
380,169900,127,4,1930,,"Zidana hiša (beton, opeka)",Samostojna,653,2003,,2,,,,Pomurska, Beltinci, Lipa
381,375000,308,4,2010,,"Zidana hiša (beton, opeka)",Samostojna,975,0,Popolnoma opremljeno,brez pripadajočega parkirišča,,,,Osrednjeslovenska, Velike Lašče, Velike Lašče
383,220000,120,,1985,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Posavska, Krško, Krško
384,52000,0,5,1925,Dvonadstropna,Lesena hiša,Kmetija,0,2014,,,,,,Posavska, Brežice, Bizeljsko
386,145000,75,3,1967,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,145,0,Delno opremljeno,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Maribor, Studenci
387,430000,217,,2022,,,Dvojček,568,0,,,,,,Osrednjeslovenska, Velike Lašče, Mali Ločnik
388,100000,0,10+,0,Večnadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,0,,,,,,Posavska, Krško, Dolenja vas pri Krškem
389,361350,195,,2021,,,Dvojček,0,0,,,,,,Osrednjeslovenska, Ljubljana Bežigrad, Črnuče
390,220000,111,,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,0,0,,2,Terasa,Vrt/dvorišče,,Podravska, Rače, Rače
394,200000,77,,2022,,,Samostojna,300,0,,,,,,Savinjska, Celje, Trnovlje pri Celju
395,230000,116,,2022,,,Dvojček,272,0,,,,,,Savinjska, Celje, Trnovlje pri Celju
396,270000,309,,2019,,,Samostojna,408,0,,,,,,Podravska, Maribor, Malečnik
397,57900,86,,1954,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Markovci, Bukovci
398,252000,441,5,1980,,"Zidana hiša (beton, opeka)",Dvostanovanjska,485,2009,Delno opremljeno,2,,,,Zasavska, Trbovlje, Trbovlje
399,165000,90,3,1910,Enonadstropna,Kamnita hiša,Samostojna,850,0,Potrebno obnove,,Terasa,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Obalno-kraška, Koper, Pobegi
400,124900,116,4,1975,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,Balkon,"Vrt/dvorišče, Vrtna uta",,Podravska, Sv. Ana v Slovenskih goricah, Sv. Ana v Slovenskih goricah
401,140000,164,5,1973,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,1982,Popolnoma opremljeno,,"Balkon, Terasa, Atrij",Vrt/dvorišče,F (150 - 210 kWh/m²a),Pomurska, Ljutomer, Mekotnjak
403,99000,446,,1999,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Pomurska, Gornja Radgona, Črešnjevci
406,280000,155,3,2022,,"Zidana hiša (beton, opeka)",Dvojček,301,0,,,,,,Osrednjeslovenska, Vrhnika, Sinja Gorica
407,155000,174,5,1988,,,Samostojna,858,2016,Popolnoma opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,F (150 - 210 kWh/m²a),Podravska, Kungota, Rošpoh - Del
408,74000,117,10+,1860,,,Ostalo,0,0,,,,,G (210+ kWh/m²a),Goriška, Kanal ob Soči, Gorenja vas
409,230000,246,5,1906,,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,2016,Delno opremljeno,brez pripadajočega parkirišča,,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Kidričevo, Njiverce
410,245000,97,4,2001,,,Samostojna,444,2020,Popolnoma opremljeno,3,"Balkon, Atrij, Terasa",Vrt/dvorišče,EI v izdelavi,Koroška, Ravne na Koroškem, Ravne na Koroškem
411,177000,200,,1968,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,760,2022,Delno opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",,Pomurska, Murska Sobota, Murska Sobota
412,318000,300,1,2000,Pritlična,,Samostojna,0,0,,,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
413,209000,207,5,1978,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,605,2021,Popolnoma opremljeno,5,"Balkon, Terasa, Loža",Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Hajdina, Hajdoše
414,240000,252,,1990,,"Zidana hiša (beton, opeka)",Samostojna,0,2020,,,"Balkon, Zaprt balkon, Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Podravska, Ptuj, Kicar
415,450000,437,10+,1977,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,7+,"Balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",,Jugovzhodna Slovenija, Dolenjske Toplice, Dolenjske Toplice
417,215000,472,,1996,Večnadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,0,,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",E (105 - 150 kWh/m²a),Pomurska, Moravske Toplice, Krnci
420,295000,211,,1975,,"Zidana hiša (beton, opeka)",Samostojna,630,0,,,,,,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
421,350000,215,,1979,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2015,,3,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",D (101 do 150 kWh/m²a) - HR,Podravska, Duplek, Spodnji Duplek
422,210000,165,8,1911,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,120,1995,Popolnoma opremljeno,2,,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",C (35 - 60 kWh/m²a),Podravska, Maribor, Magdalena
423,380000,0,,0,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Goriška, Vipava, Vipava
424,188000,85,3,2018,Enonadstropna,,Ostalo,0,0,Popolnoma opremljeno,,Terasa,Bazen,Ni možno izdati,Obalno-kraška, Piran, Lucija
427,165000,200,5,1934,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,750,2021,Popolnoma opremljeno,7+,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",,Pomurska, Lendava, Lendava
429,110000,64,4,1975,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,572,2007,Potrebno obnove,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",F (150 - 210 kWh/m²a),Savinjska, Rogatec, Rogatec
430,175000,148,6,1971,,,Samostojna,783,2017,,2,Balkon,Vrt/dvorišče,C (35 - 60 kWh/m²a),Savinjska, Laško, Laško
431,110000,64,4,1975,,"Zidana hiša (beton, opeka)",Samostojna,572,2007,Delno opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,F (150 - 210 kWh/m²a),Savinjska, Rogatec, Rogatec
432,194000,0,5,1972,,,Samostojna,0,0,,5,,"Bazen, Vrt/dvorišče",,Podravska, Majšperk, Majšperk
433,499000,768,5,1902,,"Zidana hiša (beton, opeka)",,0,0,Neopremljeno,,,,,Savinjska, Celje, Celje
434,220000,230,5,1965,,"Zidana hiša (beton, opeka)",Dvojček,428,0,Popolnoma opremljeno,,,,,Savinjska, Celje, Celje
436,225000,186,,2022,,"Zidana hiša (beton, opeka)",Dvojček,310,0,,,,,,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
437,130000,178,,1975,,"Zidana hiša (beton, opeka)",Samostojna,0,2000,,brez pripadajočega parkirišča,,,,Podravska, Slovenska Bistrica, Bojtina
438,489000,0,8,1987,,,Samostojna,0,0,,,,,,Savinjska, Vojnik, Vojnik
440,39999,110,3,1920,,"Zidana hiša (beton, opeka)",Kmetija,0,0,Neopremljeno,brez pripadajočega parkirišča,,,,Pomurska, Moravske Toplice, Selo
442,55000,0,3,1988,,,,0,0,,,,,,Jugovzhodna Slovenija, Mirna Peč, Mirna Peč
443,207000,0,5,1995,Enonadstropna,,Samostojna,0,0,,7+,,"Bazen, Vrt/dvorišče",,Savinjska, Rogaška Slatina, Podplat
444,139000,92,,1800,,,Samostojna,0,0,,,,,Ni možno izdati,Osrednjeslovenska, Ivančna Gorica, Veliko Globoko
446,236000,167,5,2022,,"Zidana hiša (beton, opeka)",Samostojna,751,0,Neopremljeno,1,,,,Savinjska, Vransko, Vransko
447,170000,315,,1880,,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,2022,,,,,C (35 - 60 kWh/m²a),Savinjska, Tabor, Tabor
448,423000,130,3,2008,Enonadstropna,Lesena hiša,Samostojna,400,0,Popolnoma opremljeno,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",,Osrednjeslovenska, Škofljica, Smrjene
449,450000,136,,2022,,,Samostojna,415,0,,,,,,Gorenjska, Šenčur, Šenčur
450,425000,136,,2022,,,Samostojna,461,0,,,,,,Gorenjska, Preddvor, Tupaliče
452,80000,184,3,1950,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2003,Delno opremljeno,,"Balkon, Terasa, Atrij",Vrt/dvorišče,G (210+ kWh/m²a),Pomurska, Razkrižje, Veščica
453,99000,239,,1911,,,Samostojna,579,2016,,,,,Ni možno izdati,Osrednjeslovenska, Ivančna Gorica, Zagradec
454,219900,0,6,1958,,,Samostojna,0,0,,,,Vrt/dvorišče,E (105 - 150 kWh/m²a),Savinjska, Laško, Laško
456,118000,0,3,1922,Dvonadstropna,Kamnita hiša,Samostojna,0,0,,,,,G (210+ kWh/m²a),Obalno-kraška, Koper, Črni Kal
457,222000,339,10+,1992,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Podravska, Majšperk, Majšperk
