,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa,type,Število sob,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Površina parcele
1797,240.000 €,,,,"203,59 m²",,2011.0,Prodam,"Goriška, Miren, Lokvica",,,,,,,Skupna cena,18.05.2022. ob 15:11,do prodaje,501 -krat,https://www.bolha.com/nepremicnine/hisa-lokvica-240.000.00-oglas-9442629,9442629,,,,"203,59 m²",C (35 - 60 kWh/m²a),4748-H-2022,house,10+,,,Ostalo,"329,00 m²"
1798,243.000 €,,,,,,1895.0,Prodam,"Osrednjeslovenska, Domžale, Radomlje",,,,2017.0,,,Skupna cena,18.05.2022. ob 12:15,do prodaje,2142 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-radomlje-oglas-9441936,9441936,,,,"136,00 m²",,HP4027,house,,,,Samostojna,"530,00 m²"
1799,279.000 €,,,,"221,00 m²",,2008.0,Prodam,"Podravska, Ptuj, Ptuj",,,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,18.05.2022. ob 07:18,do prodaje,1496 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-221.00-m2-oglas-9440775,9440775,,,,"221,00 m²",,,house,,Pritlična,,Samostojna,"909,00 m²"
1800,155.000 €,,,,,,2005.0,Prodam,"Obalno-kraška, Koper, Peraji",,,,,,,Skupna cena,18.05.2022. ob 00:11,do prodaje,1728 -krat,https://www.bolha.com/nepremicnine/vrstna-hisa-v-3-gradbeni-fazi-oglas-9440097,9440097,,3,,,G (210+ kWh/m²a),490111024-19,house,4,Dvonadstropna,,Samostojna,
1801,34.000 €,,,,,,1890.0,Prodam,"Podravska, Videm pri Ptuju, Videm pri Ptuju",,,,,,Vrt/dvorišče,Skupna cena,17.05.2022. ob 21:37,do prodaje,3229 -krat,https://www.bolha.com/nepremicnine/butana-vikend-hiska-v-halozah-vareja-oglas-9314409,9314409,,,,,F (150 - 210 kWh/m²a),490321064-19,house,3,,,,
1802,350.000 €,,,,"180,00 m²",,1970.0,Prodam,"Savinjska, Žalec, Pongrac",,,,,,,Skupna cena,17.05.2022. ob 11:54,do prodaje,894 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-pongrac-180.00-m2-oglas-9436333,9436333,,,,,G (210+ kWh/m²a),202208,house,5,Dvonadstropna,"Zidana hiša (beton, opeka)",Kmetija,"220.817,00 m²"
1803,417.000 €,,,,,,1988.0,Prodam,"Gorenjska, Jesenice, Jesenice",,,,,,Vrt/dvorišče,Skupna cena,17.05.2022. ob 00:12,do prodaje,609 -krat,https://www.bolha.com/nepremicnine/prenovljena-vrstna-hisa-3-stanovanji-v-hrusici-oglas-9434939,9434939,,,,,D (60 - 105 kWh/m²a),490191094-96,house,8,,,Samostojna,
1804,1.500.000 €,,,,,,1986.0,Prodam,"Goriška, Ajdovščina, Šmarje",,,,,,"Žar, Žar, Vrt/dvorišče",Skupna cena,17.05.2022. ob 00:11,do prodaje,813 -krat,https://www.bolha.com/nepremicnine/istrska-hacienda-posestjo-pomjan-oglas-9434935,9434935,,7+,,,C (35 - 60 kWh/m²a),490111026-33,house,10+,Enonadstropna,,,
1805,585.000 €,,,,"342,00 m²",,2015.0,Prodam,"Obalno-kraška, Piran, Sečovlje",,,,,,,Skupna cena,16.05.2022. ob 15:11,do prodaje,794 -krat,https://www.bolha.com/nepremicnine/hisa-secovlje-342-m2-prodaja-oglas-9433171,9433171,,,,,,,house,,,,,"1.128,00 m²"
1806,490.000 €,,,,,,2013.0,Prodam,"Savinjska, Žalec, Žalec",,,,,,Vrt/dvorišče,Skupna cena,15.05.2022. ob 00:12,do prodaje,2370 -krat,https://www.bolha.com/nepremicnine/nadstandardna-hisa-velika-piresica-oglas-9426474,9426474,,,,,C (35 - 60 kWh/m²a),490281028-91,house,5,,Lesena hiša,Samostojna,
1807,37.600 €,,,,"35,00 m²",,1921.0,Prodam,"Podravska, Cerkvenjak, Čagona",,,,,,,Skupna cena,13.05.2022. ob 00:19,do prodaje,1305 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-cerkvenjak-cagona-oglas-9419434,9419434,,2,,"35,00 m²",,PH4647746MR,house,,,"Zidana hiša (beton, opeka)",Samostojna,"2.633,00 m²"
