,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
159,100.000 €,,,,"120,00 m²",2,2007,Prodam,"Podravska, Videm pri Ptuju, Ljubstava",Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,"180,00 m²","5.000,00 m²",2018,Popolnoma opremljeno,5,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Žar, Bazen",Skupna cena,04.09.2022. ob 15:14,Št. dni: 19 in 5 h,4650 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ljubstava-120.00-m2-oglas-8992172,8992172,Menjava za drugo nepremičnino ni možna,,EI v izdelavi
160,155.000 €,,,,"215,10 m²",3,1993,Prodam,"Pomurska, Lendava, Lendava",Večnadstropna,,Dvojček,"134,50 m²","448,00 m²",2021,Popolnoma opremljeno,,"Terasa, Atrij","Vrt/dvorišče, Vrtna uta",Skupna cena,04.09.2022. ob 15:12,do prodaje,424 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-lendava-oglas-9911568,9911568,,302,E (105 - 150 kWh/m²a)
161,405.000 €,,,,"220,00 m²",,2021,Prodam,"Podravska, Rače, Podova",,"Zidana hiša (beton, opeka)",Samostojna,"220,00 m²","3.177,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,04.09.2022. ob 15:11,do prodaje,328 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-race-fram-podova-oglas-9911561,9911561,,PH38622275PV,
162,78.000 €,,,,,,1800,Prodam,"Podravska, Maribor okolica, Grušova",,,,,"36.763,00 m²",,,,,,Skupna cena,04.09.2022. ob 15:06,Št. dni: 26 in 19 h,1314 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-grusova-oglas-9805576,9805576,,,
163,69.000 €,,,,"40,00 m²",2,2000,Prodam,"Savinjska, Šentjur, Pletovarje",Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,"17,00 m²","302,00 m²",,,2,Terasa,Vrt/dvorišče,Skupna cena,04.09.2022. ob 12:24,Št. dni: 19 in 2 h,1015 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-pletovarje-40.00-m2-oglas-9910539,9910539,Menjava za drugo nepremičnino ni možna,,
164,110.000 €,,,,"170,00 m²",8,1977,Prodam,"Podravska, Ormož, Senešci",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"170,00 m²","1.132,00 m²",2017,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,04.09.2022. ob 10:54,Št. dni: 19 in 1 h,8807 -krat,https://www.bolha.com/nepremicnine/prodamo-hiso-z-gospodarskim-poslopjem-in-mlinom-oglas-4280432,4280432,,,
165,198.000 €,,,,"170,00 m²",,1977,Prodam,"Podravska, Ormož, Velika Nedelja",,,Kmetija,,"40.000,00 m²",2017,,,,,Skupna cena,04.09.2022. ob 10:54,Št. dni: 19 in 1 h,5978 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-senesci-dvonadstropna-170.00-m2-oglas-4280388,4280388,,,
166,770.000 €,,,,"200,00 m²",,2021,Prodam,"Gorenjska, Bled, Bled",,"Zidana hiša (beton, opeka)",Samostojna,"200,00 m²","885,00 m²",,Neopremljeno,,,,Skupna cena,03.09.2022. ob 15:12,do prodaje,156 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-gorenjska-bled-bled-oglas-9906912,9906912,,PH22901266859171IB,
167,53.000 €,,,,"80,00 m²",,1731,Prodam,"Jugovzhodna Slovenija, Šentrupert, Šentrupert",,"Zidana hiša (beton, opeka)",Samostojna,"80,00 m²","1.466,00 m²",1985,,,,,Skupna cena,03.09.2022. ob 15:10,do prodaje,422 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-dolenjska-sentrupert-sentrupert-oglas-9906899,9906899,,KODA: P5089IR,
168,175.000 €,,,,"230,00 m²",10+,1982,Prodam,"Pomurska, Beltinci, Dokležovje",Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,"280,00 m²","1.120,00 m²",2022,,,Terasa,Vrt/dvorišče,Skupna cena,03.09.2022. ob 13:02,Št. dni: 18 in 3 h,1841 -krat,https://www.bolha.com/nepremicnine/prodamo-medetazno-hiso-v-doklezovje-pri-murski-soboti-oglas-9569122,9569122,,,
169,Po dogovoru,,,,,,,Prodam,"Goriška, Nova Gorica, Nova Gorica",Dvonadstropna,Kamnita hiša,Samostojna,,,,,,,,Skupna cena,03.09.2022. ob 12:29,Št. dni: 15 in 11 h,4179 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-gorica-oglas-8443140,8443140,Možna menjava za drugo nepremičnino,,
170,142.000 €,,,,"75,00 m²",3,1991,Prodam,"Posavska, Brežice, Kapele",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"125,00 m²","965,00 m²",2000,,5,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,03.09.2022. ob 09:52,Št. dni: 18,2647 -krat,https://www.bolha.com/nepremicnine/hisa-spodnjeposavska-brezice-kapele-samostojna-434.00-m2-prodam-oglas-1439613,1439613,Menjava za drugo nepremičnino ni možna,,D (60 - 105 kWh/m²a)
171,74.000 €,,,,"95,00 m²",3,1972,Prodam,"Pomurska, Puconci, Moščanci",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,"95,00 m²","13.000,00 m²",2017,Delno opremljeno,6,Terasa,Vrt/dvorišče,Skupna cena,03.09.2022. ob 08:56,Št. dni: 17 in 23 h,625 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-moscanci-95.00-m2-oglas-9905530,9905530,Možna menjava za drugo nepremičnino,,E (105 - 150 kWh/m²a)
